display_name,n_conjugates,applications,kinds,aliases,sources
pSHP2 [Y580],1,suspension,antibody,,pdv2|store
pSLP-76 [Y128],1,suspension,antibody,,pdv2|store
pSMAD,1,imaging,antibody,,pdv2|store
pStat3 [Y705],2,imaging|suspension,antibody,Phospho-Stat3,pdv2|store
pStat4 [Y693],2,suspension,antibody,,pdv2|store
pStat5 [Y694],2,suspension,antibody,pStat5 [pY694],pdv2|store
pStat6 [Y641],3,suspension,antibody,,pdv2|store
pTau [S202/T205],3,imaging,antibody,,pdv2|store
PTEN,1,imaging,antibody,,pdv2|store
pTYR,1,imaging,antibody,,pdv2|store
pTyrosine,2,imaging|suspension,antibody,Phospho-Tyrosine; pTyrosine [Y100],pdv2|store
pZAP70 [Y319]/pSyk [Y352],1,suspension,antibody,pSyk; pZAP70; pZAP70 [Y319]/Syk [Y352],pdv2|store|store:part
RORγt,1,suspension,antibody,,store
S100β,2,imaging,antibody,S100beta,pdv2|store
SATB1,1,suspension,antibody,,store
Sca-1/Ly-6A/E,2,suspension,antibody,Sca-1/ Ly-6A/E,store
Siglec 8,1,suspension,antibody,Siglec-8,pdv2|store
Siglec 9,1,suspension,antibody,Siglec-9,pdv2|store
SOX2,2,imaging|suspension,antibody,Sox2,pdv2|store
SOX9,1,imaging,antibody,SOX-9,pdv2|store
Stat1 [pY701],2,suspension,antibody,pStat1 [Y701],pdv2|store
Stat3,1,suspension,antibody,,pdv2|store
Syk,2,imaging|suspension,antibody,SyK,pdv2|store
Synaptophysin,3,imaging,antibody,,pdv2|store
T-bet/TBX21,2,suspension,antibody,T-bet; Tbet; TBX21,pdv2|store|store:part
Tau,3,imaging,antibody,,pdv2|store
TCR Vα7.2,1,suspension,antibody,TCR Va7.2,pdv2|store
TCRαβ,2,suspension,antibody,TCR alpha beta; TCRab; TCRα/β,pdv2|store
TCRβ,2,suspension,antibody,,store
TCRγδ,4,suspension,antibody,TCR gamma delta; TCR γ/δ,pdv2|store
TdT,1,suspension,antibody,,pdv2|store
TER-119,2,suspension,antibody,,store
Thioredoxin,1,suspension,antibody,,pdv2|store
TIGIT,5,suspension,antibody,,pdv2|store
Tim-4,1,suspension,antibody,,pdv2|store
TMEM119,3,imaging,antibody,,pdv2|store
TNFα,6,suspension,antibody,TNF; TNF alpha; TNF-alpha; TNF-α,curated|pdv2|store
TRA-1-60,1,suspension,antibody,,pdv2|store
TSLP-R,1,suspension,antibody,,pdv2|store
TWIST1,3,imaging,antibody,,pdv2|store
Tyrosine Hydroxylase,3,imaging,antibody,,pdv2|store
VE-cadherin,1,suspension,antibody,,pdv2|store
VEGF,1,imaging,antibody,,pdv2|store
Vimentin,8,imaging|suspension,antibody,VIM,curated|pdv2|store
VISTA,2,imaging,antibody,Vista,pdv2|store
XCR1,2,suspension,antibody,,store
YAP1,1,imaging,antibody,,pdv2|store
α-Smooth Muscle Actin,4,imaging,antibody,ACTA2; alpha-SMA; Alpha-Smooth Muscle Actin; aSMA; aSMA/ACTA2; SMA,curated|pdv2|store
αSyn,3,imaging,antibody,AlphaSyn,pdv2|store
β III Tubulin,3,imaging,antibody,Tubulin Beta3,pdv2|store
β-actin,1,imaging,antibody,beta-Actin,pdv2|store
β-Catenin,9,imaging|suspension,antibody,Beta-Catenin; beta-Catenin; CTNNB1; non-phospho (active) β-Catenin,curated|pdv2|store
β-Tubulin,1,imaging,antibody,beta-Tubulin,pdv2|store
β2-microglobulin,1,suspension,antibody,B2-microglobulin,pdv2|store
