Application,Part Number,Target,Clone,Metal,Reported Reactivity,Format,Technical Data Sheet,Safety Data Sheet,Sample Type,Assay Type
IMC (Imaging),3151025D,Anti-Human CD31/PECAM-1 ,<div>EPR3094</div>,151Eu,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPo/GbhB6um_uCIP4E8HlBxErRRmxlKsI3XRdKXLU5chhYE"" target=""_blank"">PRD025-3151025D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3151026D,Anti-Human IgM ,<div>MHM-88</div>,151Eu,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5T/Z_1d5u4LFKriy28whPsAqWt6uK86vsJRwwF8.LUJNf4"" target=""_blank"">PRD025-3151026D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3151027D,Anti-Human CD31 ,<div>WM59</div>,151Eu,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5U/4nSiqqTgyCfNdaysj.vHyIkDcDzGWHtzj1O1yT1rk5U"" target=""_blank"">PRD025-3151027D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3151028D,Anti-Human/Mouse CD34,<div>EP373Y</div>,151Eu,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000187I2/dgnpktG5Gbn923o_3plzrcSWGSEu8MLE2RtkqTFdp2A"" target=""_blank"">PRD025-3151028D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3152018D,Anti-Human CD45 ,<div>D9M8I</div>,152Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQb/jwJN6.0a8LDNv51F331BdoCYf5h13W9puRmAPGNEpps"" target=""_blank"">PRD025-3152018D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3153028D,Anti-Human CD223/LAG-3,<div>D2G40</div>,153Eu,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPe/EdHxeQ6J2aZfxQrZu5MNwJFo1j6MW4jiwFM8QJUyQV0"" target=""_blank"">PRD025-3153028D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3153029D,Anti-Human/Mouse CD44 ,<div>IM7</div>,153Eu,"Human, Mouse, Cynomolgus Monkey, Rhesus, Chimpanzee, Olive Baboon, Bovine, Canine, Porcine, Equine, Feline","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQR/.qhDk0jXx07WH5eSZln6OdfEC4.kDuVh2FdSYVy7_0Q"" target=""_blank"">PRD025-3153029D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3154021D,Anti-β-actin ,<div>2F1-1</div>,154Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQ4/XXGZqFWolz2Rm8huRH_EQ3aodu6CqVQvEnPl6wSOtXU"" target=""_blank"">PRD025-3154021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3154024D,Anti-Human CD366/TIM-3,<div>D5D5R</div>,154Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQM/E3jsllXjDW3nYcadCC2ciKysvk9H6i6pDh4Z0iuDZtU"" target=""_blank"">PRD025-3154024D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3154026D,Anti-Human CD11c ,<div>3.9</div>,154Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5Y/3yBwwHyM0bN4BJUDyLHSLPCG8umWpw3tm2qTR9R_e5U"" target=""_blank"">PRD025-3154026D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3154027D,Anti-Human CD11c,<div>D3V1E</div>,154Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbo/WxrG.Ddib78z2MTi2cyBcrovS6aN9ZmTCzogAKf857A"" target=""_blank"">PRD025-3154027D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3155017D,Anti-Human IDO ,<div>D5J4E</div>,155Gd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQ3/e5D8G9xYh8zpqqddgNiHs1PXzUfaiKyjrskH9bkvAzU"" target=""_blank"">PRD025-3155017D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3155018D,Anti-Human FoxP3 ,<div>PCH101</div>,155Gd,"Human, Chimpanzee, Cynomolgus Monkey, Non-Human Primate, Rhesus Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/#700000009DAw/a/QQ000007ewMD/EyvxRaDH.Is.r2fu2JAMnloXYqdb.GGGnIHfC4JPDB4"" target=""_blank"">PRD025-3155018D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3156033D,Anti-Human CD4 ,<div>EPR6855</div>,156Gd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019q09/z61I1lPUa.yt50BzirMZu6pIxE8QwiOjQmvMkdCf6pg"" target=""_blank"">PRD025-3156033D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3156035D,Anti-Human CD86,<div>IT2.2</div>,156Gd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5i/ONMFFk3zB2enbONi7IRO91sOJzQI.RJJ.740xC1UNT8"" target=""_blank"">PRD025-3156035D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3156036D,Anti-Human CD4 ,<div>RPA-T4</div>,156Gd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5n/ZahoQ7cuG5X.AguIU.gU4ZkI8dOKdJuXP0Z7qxl0jH8"" target=""_blank"">PRD025-3156036D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3158029D,Anti-E-Cadherin ,<div>24E10</div>,158Gd,"Human, Mouse, Bovine, Cross","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPt/b39qTnhHkh.6L39sOM2eXR0ev8SoCpD_v5ZbBea1OaU"" target=""_blank"">PRD025-3158029D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3158030D,Anti-pStat3 [Y705],<div>4/P-STAT3</div>,158Gd,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019q0O/nNS1HrkjLmT5k8wVAYQpQfC79VMN.mMTKrSyAwRVgaw"" target=""_blank"">PRD025-3158030D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3159035D,Anti-Human CD68 ,<div>KP1</div>,159Tb,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPU/URARQJHVlQ04FS0oTCuG.GswYQhcuXtymrX9vgNuuqg"" target=""_blank"">PRD025-3159035D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3159036D,Anti-β-Tubulin ,<div>BT7R</div>,159Tb,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5x/lE_hktDZ71ELLa8_KhcaWYDgt_s_9ACiNJtmjRnE.so"" target=""_blank"">PRD025-3159036D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3160025D,Anti-Human Vista ,<div>D1L2G</div>,160Gd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPs/0ZlP6RBxWLyHhsYIsMOqvJuIcnbdbmW7B8eg9OyJsnM"" target=""_blank"">PRD025-3160025D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3160026D,Anti-Human CD28 ,<div>YTH913.12</div>,160Gd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n67/80Ryq9XvrWjSNlBVcAPkVa3Eu7ySbxd_xCDq7Nh0au0"" target=""_blank"">PRD025-3160026D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3160028D,Anti-Human/Mouse NeuN,<div>EPR12763</div>,160Gd,"Human, Mouse, Rat, Sheep, Goat, Cat, Dog, Zebrafish, Common Marmoset","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000187Ht/60pzdirxtraV_MCC9H6Rlucl8vz42_RASjbgE4bBn2s"" target=""_blank"">PRD025-3160028D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3160030D,Anti-Human CD66b,<div>BLR111H</div>,160Gd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbH/LEspuPpOepm6KLzNOdMvXM6xeICkm1XQBJZYlK1sa3I"" target=""_blank"">PRD025-3160030D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3161029D,Anti-Human CD20 ,<div>H1</div>,161Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPn/IeuPSkutkaZ_753BAzJyvphzfzhkDEnWSNGRZs.9lIg"" target=""_blank"">PRD025-3161029D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3161032D,Anti-Human CD20 ,<div>2H7</div>,161Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n6O/WrXYyg56mh4V5yhKCT3ZA4u0q7CihHPXpKVR4W5A4cI"" target=""_blank"">PRD025-3161032D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3161035D,Anti-Human FAP,<div>E1V9V</div>,161Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbP/kCHVKJ8oogD_j9V7zlGQGWU5zH.4HGbgqukhrY8i0Hg"" target=""_blank"">PRD025-3161035D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3162033D,Anti-Human Pan-Keratin ,<div>C11</div>,162Dy,"Human, Mouse, Rat, Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPd/.1M0CFom7OXvNvQATCqC4QrGSXxB5dWAze.ALfAittw"" target=""_blank"">PRD025-3162033D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3162034D,Anti-Human CD8a ,<div>C8/144B</div>,162Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPY/ZRRsUI7mndudRs75P5yHNEgOiXemHRb0KlSPirqxpQ4"" target=""_blank"">PRD025-3162034D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3162035D,Anti-Human CD8a ,<div>D8A8Y</div>,162Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPT/bR0lVE3FQGMLl17v9DwcXsm5Xsdvh6Ao2f7zXPIiEAA"" target=""_blank"">PRD025-3162035D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3162036D,Anti-Human CD8a ,<div>RPA-T8</div>,162Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n6T/ZNjjlEmzIDs4OKs82cqrdpjGYZ2xOkKA0klKykY1ajM"" target=""_blank"">PRD025-3162036D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3163028D,Anti-Human VEGF ,<div>G153-694</div>,163Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iIF/VWtxHczpRghF2bwfCCLK7uwFhW7H.4wx3EuJJ4w5TVw"" target=""_blank"">PRD025-3163028D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3163030D,Anti-Human CD196/CCR6 ,<div>G034E3</div>,163Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n6Y/Rqr2q2vYD9dxNsszwWO.fbu3yloheiaPv.gght6Kv_A"" target=""_blank"">PRD025-3163030D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3163031D,Anti-Human/Mouse GFAP,<div>GA5</div>,163Dy,"Human, Mouse, Chicken, Pig, Rabbit, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001VRni/iUhJHID8UFCmRl1eyu9iyfAMTb08Z0qfbFiJaAXmG2U"" target=""_blank"">PRD025-3163031D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3163033D,Anti-Human CD57,<div>NK/804</div>,163Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbJ/PPFvMCnaNDYGjRqAoNwEHGoK6O.YXTwL6EAh08uowGw"" target=""_blank"">PRD025-3163033D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3164025D,Anti-Human c-Myc p67 ,<div>9E10</div>,164Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/#700000009DAw/a/QQ000006Q5VF/mBG18tLVRdMzf8KV__J7PVd1kKjF3IV8.3t__69tzZw"" target=""_blank"">PRD025-3164025D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3164027D,Anti-Cross Arginase-1 ,<div>D4E3M</div>,164Dy,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iIE/1xp6SkSvSU3xONb8WZe8aU6nXzj65oHGKqA5bwQnWvE"" target=""_blank"">PRD025-3164027D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3164028D,Anti-Cytokeratin 7 ,<div>RCK105</div>,164Dy,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iI9/tUy93k5htRD6tuIEf4VT0nNzbmxboiu8JF1J4ZRfzfU"" target=""_blank"">PRD025-3164028D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3164031D,Anti-Human/Mouse S100β,<div>EP1576Y</div>,164Dy,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000187Hx/IItuiqdJ_I_HnvBNCVRyKZNfxZScwxcNz9kgbzclj44"" target=""_blank"">PRD025-3164031D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3164032D,Anti-Human Podoplanin,<div>D2-40</div>,164Dy,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbG/H1TACXiq3nsFe.YDZe7Wj0Nn_W_8tYHbxYi.mTqlRIU"" target=""_blank"">PRD025-3164032D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3165032D,Anti-β-Catenin,<div>D13A1</div>,165Ho,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iHv/RN.a0ZfKbRrjnzvnXhgzGoKxynv4XsyPG976wCsdJE0"" target=""_blank"">PRD025-3165032D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3165034D,Anti-pCREB [S133],<div>87G3</div>,165Ho,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iHN/ys728VDcukwjefmZ9vxY5f5uCsdR3EuqZfbHWVX4mJQ"" target=""_blank"">PRD025-3165034D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3165036D,Anti-Human pH2AX [S139] ,<div>N1-431</div>,165Ho,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iI4/WEbu3qznV9q_4IwmW_9IEojxL72BNRGYnx3OA.YU8JM"" target=""_blank"">PRD025-3165036D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3165039D,Anti-Human CD279/PD-1 ,<div>EPR4877(2)</div>,165Ho,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iHz/ZtA9CcCx5MkO3SPWxNSmFiA2AkV6N2tKLT0CQ1GQ5EU"" target=""_blank"">PRD025-3165039D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3165040D,Anti-β-Catenin ,<div>D10A8</div>,165Ho,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n6d/ZzLUNHI79OywRyMWCSkQP9nYf4kwGv5JQMDgFQK0O3Q"" target=""_blank"">PRD025-3165040D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3165041D,Anti-Human CD279/PD-1 ,<div>EH12.2H7</div>,165Ho,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n6i/ohdN0uAWQNqxz0NjZ6yuhqT.BDvb2cnncfPOV.JfaGE"" target=""_blank"">PRD025-3165041D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3165045D,Anti-Human CD279/PD-1,<div>D4W2J</div>,165Ho,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbp/x3sEpiVYN6wx4wAq05ufC8IzYkH7ygg37RHEi63lUs4"" target=""_blank"">PRD025-3165045D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
